name,advantage,who,age,where1,qualification,url,image
월성원자력 주변지역 장학,학비지원,"대학생,전문대생",,,,https://www.dreamspon.com/scholarship/view.html?idx=5509,https://github.com/seungukkim/flower75982/blob/main/image/02.png?raw=true
충남대 총동창회 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5488,https://github.com/seungukkim/flower75982/blob/main/image/03.png?raw=true
굿패밀리 복지장학,학비지원,고등학생 대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5489,https://github.com/seungukkim/flower75982/blob/main/image/04.png?raw=true
서울희망 대학장학,학비지원,"대학생,전문대생 (재학생에 한함)",,,"기초수급자 , 차상위계층",https://www.dreamspon.com/scholarship/view.html?idx=5503,https://github.com/seungukkim/flower75982/blob/main/image/05.png?raw=true
희망/동행 삼일장학,생활비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5383,https://github.com/seungukkim/flower75982/blob/main/image/06.png?raw=true
새울원자력본부 주변지역 장학,학비지원,고등학생 대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5487,https://github.com/seungukkim/flower75982/blob/main/image/07.png?raw=true
석 박사 여성인재 장학,학비지원,대학원생,,"서울,경기",,https://www.dreamspon.com/scholarship/view.html?idx=5502,https://github.com/seungukkim/flower75982/blob/main/image/08.png?raw=true
가송재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5471,https://github.com/seungukkim/flower75982/blob/main/image/09.png?raw=true
양천구 미취업 청년 취업장려금,기타,청년,34,서울,,https://www.dreamspon.com/scholarship/view.html?idx=5230,https://github.com/seungukkim/flower75982/blob/main/image/10.png?raw=true
SK케미칼 R&D 산학장학,학비지원,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5501,https://github.com/seungukkim/flower75982/blob/main/image/11.png?raw=true
동대문구 미취업 청년 자격취득 활동비 지원,기타,청년,34,서울,,https://www.dreamspon.com/scholarship/view.html?idx=5466,https://github.com/seungukkim/flower75982/blob/main/image/12.png?raw=true
정암 글로벌비전 석박사 장학,학비지원,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5500,https://github.com/seungukkim/flower75982/blob/main/image/13.png?raw=true
보건장학회 연구지원장학,기타,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5465,https://github.com/seungukkim/flower75982/blob/main/image/14.png?raw=true
보건장학회 학원지원장학,생활비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5467,https://github.com/seungukkim/flower75982/blob/main/image/15.png?raw=true
더라이트핸즈 선교사자녀 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5463,https://github.com/seungukkim/flower75982/blob/main/image/16.png?raw=true
전라남도 학자금 대출 이자지원,기타,대학생 전문대생 청년(휴학포함),,전남,,https://www.dreamspon.com/scholarship/view.html?idx=5479,https://github.com/seungukkim/flower75982/blob/main/image/17.png?raw=true
울진군 대학생 장학,학비지원,대학생 전문대생 청년(휴학포함),,경북,,https://www.dreamspon.com/scholarship/view.html?idx=5480,https://github.com/seungukkim/flower75982/blob/main/image/18.png?raw=true
대구청년 꿈구는대로 펀딩 지원사업,기타,청년,34,대구,,https://www.dreamspon.com/scholarship/view.html?idx=5481,https://github.com/seungukkim/flower75982/blob/main/image/19.png?raw=true
김해시 공항소음 대책지역 장학,기타,대학생 전문대생,,서울,,https://www.dreamspon.com/scholarship/view.html?idx=5482,https://github.com/seungukkim/flower75982/blob/main/image/20.png?raw=true
바로바로론 사랑나눔 장학,학비지원,대학생,,,"기초수급자 , 차상위계층",https://www.dreamspon.com/scholarship/view.html?idx=5475,https://github.com/seungukkim/flower75982/blob/main/image/21.png?raw=true
익산시 홍제동행복연합 기숙사 입사생 선발,기타,대학생 전문대생,,전라,,https://www.dreamspon.com/scholarship/view.html?idx=5476,https://github.com/seungukkim/flower75982/blob/main/image/22.png?raw=true
고리원자력 주변지역 장학,학비지원,고등학생 대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5477,https://github.com/seungukkim/flower75982/blob/main/image/23.png?raw=true
정읍시민장학재단 장학,학비지원,대학생 전문대생,,전라,,https://www.dreamspon.com/scholarship/view.html?idx=5474,https://github.com/seungukkim/flower75982/blob/main/image/24.png?raw=true
김희경유럽정신문화 장학재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5355,https://github.com/seungukkim/flower75982/blob/main/image/25.png?raw=true
경상남도 노동자 자녀 장학 추가모집,학비지원,대학생,,경남,,https://www.dreamspon.com/scholarship/view.html?idx=5426,https://github.com/seungukkim/flower75982/blob/main/image/26.png?raw=true
풀브라이트 언론인 장학,"생활비,기타지원",대학원생 청년,,,,https://www.dreamspon.com/scholarship/view.html?idx=5427,https://github.com/seungukkim/flower75982/blob/main/image/27.png?raw=true
대학생 연합생활관 신규입주 모집,기타,대학생 전문대생 대학원생 ,,,,https://www.dreamspon.com/scholarship/view.html?idx=5446,https://github.com/seungukkim/flower75982/blob/main/image/28.png?raw=true
아주대 김수정 장학,학비지원,대학생 (재학생),,,,https://www.dreamspon.com/scholarship/view.html?idx=5470,https://github.com/seungukkim/flower75982/blob/main/image/29.png?raw=true
이니스프리 모음재단 감귤장학,생활비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5455,https://github.com/seungukkim/flower75982/blob/main/image/30.png?raw=true
한국장학재단 농촌출신 학자금 융자지원,학비지원,대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5456,https://github.com/seungukkim/flower75982/blob/main/image/31.png?raw=true
시각장애인 효명장학,학비지원,대학생 대학원생,,,장애인,https://www.dreamspon.com/scholarship/view.html?idx=5456,https://github.com/seungukkim/flower75982/blob/main/image/32.png?raw=true
종근당고촌학사 입사생 모집,생활비지원,대학생 (남학생만),,,,https://www.dreamspon.com/scholarship/view.html?idx=5424,https://github.com/seungukkim/flower75982/blob/main/image/33.png?raw=true
경기도 송파학사 입사생 모집,생활비지원,대학생 전문대생 (남학생),,경기,,https://www.dreamspon.com/scholarship/view.html?idx=5454,https://github.com/seungukkim/flower75982/blob/main/image/34.png?raw=true
울산광역시 학자금 대출 이자지원,기타,대학생 ,,,,https://www.dreamspon.com/scholarship/view.html?idx=5422,https://github.com/seungukkim/flower75982/blob/main/image/35.png?raw=true
불광작학회 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5453,https://github.com/seungukkim/flower75982/blob/main/image/36.png?raw=true
광진구 장학,학비지원,고등학생 대학생,,서울,,https://www.dreamspon.com/scholarship/view.html?idx=5452,https://github.com/seungukkim/flower75982/blob/main/image/37.png?raw=true
경기도 청년 취업 지원 프로그램,기타,청년,,경기,,https://www.dreamspon.com/scholarship/view.html?idx=5421,https://github.com/seungukkim/flower75982/blob/main/image/38.png?raw=true
성련장학재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5439,https://github.com/seungukkim/flower75982/blob/main/image/39.png?raw=true
서암윤세영재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5458,https://github.com/seungukkim/flower75982/blob/main/image/40.png?raw=true
대학 대학원생 OK생활장학,학비지원,대학생 대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5444,https://github.com/seungukkim/flower75982/blob/main/image/41.png?raw=true
서울 장애인 씨알장학,학비지원,대학생 전문대생 대학원생 ,,,장애인,https://www.dreamspon.com/scholarship/view.html?idx=5418,https://github.com/seungukkim/flower75982/blob/main/image/42.png?raw=true
한국전력전우회 섬사랑 장학,학비지원,대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5443,https://github.com/seungukkim/flower75982/blob/main/image/43.png?raw=true
새희망힐링펀드 장학,생활비지원,고등학생 대학생,34,,기초수급자 차상위계층,https://www.dreamspon.com/scholarship/view.html?idx=5381,https://github.com/seungukkim/flower75982/blob/main/image/44.png?raw=true
포스코 비전 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5382,https://github.com/seungukkim/flower75982/blob/main/image/45.png?raw=true
삼아사운드 삼아 장학,학비지원,대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5415,https://github.com/seungukkim/flower75982/blob/main/image/46.png?raw=true
경북도립대 인재육성장학,학비지원,대학생 전문대생,25,경북,,https://www.dreamspon.com/scholarship/view.html?idx=5451,https://github.com/seungukkim/flower75982/blob/main/image/47.png?raw=true
강원도 청년 구직활동 지원,생활비지원,청년,39,강원,,https://www.dreamspon.com/scholarship/view.html?idx=5377,https://github.com/seungukkim/flower75982/blob/main/image/48.png?raw=true
도레이첨단소재 산학장학,학비지원,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5432,https://github.com/seungukkim/flower75982/blob/main/image/49.png?raw=true
여름방학 다품멘토링,학비지원,대학생,,대구,,https://www.dreamspon.com/scholarship/view.html?idx=5405,https://github.com/seungukkim/flower75982/blob/main/image/50.png?raw=true
해양수산부장학 ,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5403,https://github.com/seungukkim/flower75982/blob/main/image/51.png?raw=true
LH대학생 주택건축대전,기타,대학생 대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5358,https://github.com/seungukkim/flower75982/blob/main/image/52.png?raw=true
이천시 저소득층 대학생 등록금 지원,학비지원,대학생 전문대생,29,경기,기초수급자 차상위계층 한부모가정 장애인,https://www.dreamspon.com/scholarship/view.html?idx=5318,https://github.com/seungukkim/flower75982/blob/main/image/53.png?raw=true
